Version,Test UAR_0,Test UAR_1,Test UAR_2,Test UAR_3,Test UAR_4,Test UAR_5,Test UAR_6,Test UAR_7,Test UAR_8,Test UAR_9,Test Accuracy_0,Test Accuracy_1,Test Accuracy_2,Test Accuracy_3,Test Accuracy_4,Test Accuracy_5,Test Accuracy_6,Test Accuracy_7,Test Accuracy_8,Test Accuracy_9
20250126_8,0.5855298582497014,0.5933941698461533,0.5738372158032705,0.5847366535891703,0.540010305670063,0.5449917792023056,0.5478368669510125,0.5719957194965231,0.5748638616285675,0.534478359331506,0.5849462365591398,0.5974842767295597,0.587012987012987,0.5981308411214953,0.6012658227848101,0.5931558935361216,0.6871657754010695,0.6181384248210023,0.5885826771653543,0.5990783410138248
20250127_2,0.6340786270501864,0.6110623524002029,0.5715678525479081,0.5953735566773339,0.546478328925877,0.5192013356487041,0.5398261832788107,0.5586952542915256,0.5431321129850541,0.5496117235803867,0.6279569892473118,0.5870020964360587,0.5896103896103896,0.6518691588785047,0.6033755274261603,0.5798479087452472,0.6577540106951871,0.6587112171837709,0.562992125984252,0.5829493087557603
20250127_4,,,,,0.5201281403126701,0.5365945576471892,0.5638183775725703,0.6009649317669247,0.565530058177117,,,,,,0.569620253164557,0.596958174904943,0.6256684491978609,0.6467780429594272,0.6043307086614174,
20250127_8,0.6272214718193796,0.6288400401388887,0.5705451007359605,0.6265293529540413,0.5529018725208058,0.5037591675749571,0.5642350614932294,0.6067337635161486,0.5681610056610057,0.5703261640307979,0.6172043010752688,0.5953878406708596,0.5922077922077922,0.5841121495327103,0.5843881856540084,0.5817490494296578,0.6631016042780749,0.630071599045346,0.5433070866141733,0.5783410138248848
20250128_1,,,,,,,,,,0.5612945520611163,,,,,,,,,,0.5622119815668203
